word1,word2,similarity
a,otro,0.08944222331047058
a,otros,0.08756029605865479
a,para,0.1928447037935257
a,pero,0.08632755279541016
a,poco,0.11642725765705109
a,por,0.22383923828601837
a,porque,0.12916520237922668
a,que,0.12922441959381104
a,quien,0.08800037950277328
a,quienes,0.07348434627056122
a,qué,0.0814705342054367
a,se,0.27082890272140503
a,sea,0.024545753374695778
a,seamos,0.013066107407212257
a,sean,0.008034951984882355
a,seas,0.05662408098578453
a,sentid,-0.02607506699860096
a,sentida,0.025300461798906326
a,sentidas,0.06143886223435402
a,sentido,-0.06892860680818558
a,sentidos,-0.046138714998960495
a,seremos,0.02364465594291687
a,será,0.014414903707802296
a,serán,-0.015001505613327026
a,serás,0.014197612181305885
a,seré,0.07615610957145691
a,seréis,0.02250256948173046
